City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Whyalla,AU,72.12,few clouds,-33.0333,137.5833,Whyalla Playford Apartments
650,Poya,NC,82.96,broken clouds,-21.35,165.15,No hotel found
652,Hsinchu,TW,72.93,few clouds,24.8036,120.9686,柿子紅快捷旅店
658,Ibirama,BR,72.66,broken clouds,-27.0569,-49.5178,No hotel found
663,Khonsa,IN,73.04,broken clouds,27.0167,95.5667,No hotel found
664,Key Biscayne,US,76.01,clear sky,25.6937,-80.1628,Beach Haus Key Biscayne
673,Coruripe,BR,76.41,overcast clouds,-10.1256,-36.1756,No hotel found
675,Sambava,MG,81.52,light rain,-14.2667,50.1667,Royal Sava Hôtel
677,Celestun,MX,74.41,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
678,Champerico,GT,77.09,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
682,Puerto Rondon,CO,74.59,clear sky,6.2805,-71.1,No hotel found
683,Meulaboh,ID,84.02,overcast clouds,4.1363,96.1285,Hotel Meuligou
687,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,No hotel found
689,Bourail,NC,82.02,broken clouds,-21.5667,165.4833,Hôtel Restaurant La Néra
692,Dicabisagan,PH,79.43,overcast clouds,17.0818,122.4157,No hotel found
693,Moindou,NC,82.22,overcast clouds,-21.6924,165.677,No hotel found
696,Limbang,MY,86.11,overcast clouds,4.75,115.0,Comfort Hotel
697,Maridi,SS,76.5,scattered clouds,4.9158,29.4742,No hotel found
700,Mercedes,AR,73.78,light rain,-34.6515,-59.4307,Gran Hotel Mercedes
701,Ternate,ID,83.34,scattered clouds,0.8,127.4,Boulivard ternate
705,Razole,IN,85.55,broken clouds,16.4833,81.8333,No hotel found
709,Quang Ngai,VN,77.59,overcast clouds,15.1167,108.8,Ngoc Anh
